id,region,year,policy,swb,ccs,hyd,oil,dac,lul,agriculture and forestry,oil and gas,mining,utilities,construction,manufacturing,transportation,services,direct air capture
70247,can,2030,netzero,ref,low,high,ref,yes,high,56.05217336,124.9044691,27.93032078,53.6405577,169.8479353,236.1187202,144.2527031,1685.472582,0
70310,can,2030,netzero,low,low,high,ref,yes,high,56.30294515,127.7868192,28.48377614,54.74652328,175.3823255,238.4256127,146.906454,1702.488885,0
70373,can,2030,netzero,high,low,high,ref,yes,high,55.82343256,125.1524649,27.56112353,53.27293521,168.1677925,233.8348339,142.5584623,1675.540555,0
70436,can,2030,netzero,ref,high,ref,ref,no,high,56.30781752,122.5894671,27.84157474,53.35290436,167.1431637,234.7725903,142.2753162,1679.684812,0
70499,can,2030,netzero,low,high,ref,ref,no,high,56.75011529,124.3664369,28.46494425,54.402771,171.372405,237.8098325,144.7838521,1695.306139,0
70562,can,2030,netzero,high,high,ref,ref,no,high,55.88592848,122.8395737,27.37522789,53.29559123,165.7864676,232.2344484,140.621494,1669.419169,0
70625,can,2030,netzero,ref,high,low,ref,no,high,56.31914485,122.5967736,27.84021989,53.43398027,167.1965799,234.7412801,142.3524599,1679.633351,0
70688,can,2030,netzero,low,ref,low,ref,no,high,56.64515012,125.0760268,28.47630703,54.5651882,171.7844628,238.073034,145.2976004,1696.781028,0
70751,can,2030,netzero,low,high,low,ref,no,high,56.72569199,124.3444931,28.45403571,54.45898696,171.4198012,237.8060558,144.7938211,1695.394334,0
70814,can,2030,netzero,high,high,low,ref,no,high,55.88082297,122.8291702,27.37336989,53.36757055,165.8609802,232.2733772,140.6618628,1669.936661,0
70877,can,2030,netzero,ref,high,high,ref,no,high,56.30731532,122.5889749,27.84216905,53.33986371,167.1246285,234.7727624,142.3147604,1679.642366,0
70940,can,2030,netzero,low,high,high,ref,no,high,56.76170421,124.3719794,28.45595975,54.38934224,171.357583,237.8075124,144.7858152,1695.268752,0
71003,can,2030,netzero,high,high,high,ref,no,high,55.88827665,122.8376081,27.3749755,53.28098602,165.7563444,232.233313,140.6503532,1669.340545,0
71066,can,2030,netzero,ref,high,ref,ref,yes,high,56.30856542,122.5882351,27.84201115,53.35289638,167.1387281,234.7691804,142.2754875,1679.676537,0
71129,can,2030,netzero,low,high,ref,ref,yes,high,56.75030864,124.3664759,28.46526648,54.40268117,171.3717552,237.8095928,144.7837187,1695.305463,0
71192,can,2030,netzero,high,high,ref,ref,yes,high,55.90115312,122.8453006,27.37707334,53.3120907,165.8307198,232.2941955,140.6612765,1669.850807,0
71255,can,2030,netzero,ref,high,low,ref,yes,high,56.28730283,122.5819524,27.83605522,53.40471501,167.1852186,234.7838245,142.2494314,1679.788679,0
71318,can,2030,netzero,low,high,low,ref,yes,high,56.72743402,124.3465693,28.46139073,54.44784841,171.3873161,237.7969994,144.7872734,1695.360695,0
71381,can,2030,netzero,high,ref,low,ref,no,high,55.79115527,123.9037671,27.38715633,53.3149642,166.3094072,232.6496033,141.0304033,1671.31322,0
71444,can,2030,netzero,high,high,low,ref,yes,high,55.86379122,122.8274834,27.37079857,53.35203788,165.8179804,232.2330034,140.6043216,1669.532868,0
71507,can,2030,netzero,ref,high,high,ref,yes,high,56.30724286,122.5889683,27.84210709,53.33985315,167.1253419,234.7726794,142.3149907,1679.642189,0
71570,can,2030,netzero,low,high,high,ref,yes,high,56.75191573,124.3689609,28.4664053,54.39452277,171.3696731,237.8164298,144.7922634,1695.299736,0
71633,can,2030,netzero,high,high,high,ref,yes,high,55.88709168,122.8306921,27.37492184,53.2748204,165.7526107,232.234449,140.6374505,1669.346251,0
71696,can,2030,netzero,ref,ref,ref,low,no,high,65.07219542,54.6159785,31.61372999,52.77659519,161.945775,261.1801499,146.7420034,1713.972792,0
71759,can,2030,netzero,low,ref,ref,low,no,high,65.21869416,54.65462199,31.8420414,53.01424986,164.3732676,263.9828999,147.6681437,1723.017862,0
71822,can,2030,netzero,high,ref,ref,low,no,high,64.93089592,55.62316618,31.3359784,52.6678046,161.2564616,259.9904871,145.1656886,1706.082999,0
71885,can,2030,netzero,ref,ref,low,low,no,high,64.99795591,54.6204439,31.59600475,52.84076359,162.0665646,261.4678278,146.7524095,1714.162993,0
71948,can,2030,netzero,low,ref,low,low,no,high,65.20365741,54.64315078,31.84231272,53.03726398,164.334094,263.9212873,147.6795995,1722.964926,0
72011,can,2030,netzero,high,ref,low,low,no,high,64.89937629,55.57449409,31.33691239,52.72122644,161.2727481,259.9103286,145.1999398,1706.195598,0
72074,can,2030,netzero,ref,ref,high,ref,no,high,56.39944483,123.5653511,27.89905512,53.53061747,167.5956012,235.3182496,142.6027297,1681.34693,0
72137,can,2030,netzero,ref,ref,high,low,no,high,65.0337404,54.61865976,31.60428525,52.76355305,162.0033905,261.46259,146.761767,1714.080137,0
72200,can,2030,netzero,low,ref,high,low,no,high,65.22597657,54.68186092,31.84554104,53.00610042,164.3710147,263.9750358,147.6671761,1722.992063,0
72263,can,2030,netzero,high,ref,high,low,no,high,64.94386649,55.63718708,31.33730001,52.65276449,161.2404869,259.9923417,145.1891897,1706.038394,0
72326,can,2030,netzero,ref,ref,ref,low,yes,high,65.02654416,54.57808647,31.59899337,52.78068219,162.0155173,261.491813,146.7689303,1714.130079,0
72389,can,2030,netzero,low,ref,ref,low,yes,high,65.22947179,54.65410015,31.8443073,53.01435423,164.3743265,263.9846798,147.6685114,1723.004811,0
72452,can,2030,netzero,high,ref,ref,low,yes,high,64.92505988,55.62570126,31.33835379,52.66945285,161.2593922,259.9926168,145.1842749,1706.09552,0
72515,can,2030,netzero,ref,ref,low,low,yes,high,65.05148508,54.556143,31.60956926,52.81704922,161.9698008,261.2899491,146.7212151,1714.061184,0
72578,can,2030,netzero,low,ref,low,low,yes,high,65.22791696,54.68482544,31.84475875,53.03765984,164.2904664,263.7244087,147.6526511,1722.715578,0
72641,can,2030,netzero,high,ref,low,low,yes,high,64.88262446,55.59640352,31.33337411,52.73132976,161.2972689,259.9653414,145.1904304,1706.218518,0
72704,can,2030,netzero,ref,ref,high,low,yes,high,65.03469289,54.61414324,31.60487302,52.76069971,161.9996766,261.4681737,146.762507,1714.083567,0
72767,can,2030,netzero,low,ref,high,ref,no,high,56.66243345,125.0805051,28.4829883,54.5090177,171.7803743,238.1012436,145.3818301,1696.728037,0
72830,can,2030,netzero,low,ref,high,low,yes,high,65.26943134,54.7363761,31.85616634,53.00196427,164.2806258,263.6544458,147.6348456,1722.687681,0
72893,can,2030,netzero,high,ref,high,low,yes,high,64.93602442,55.59612706,31.34109212,52.6129466,161.2112568,259.9541893,145.1982233,1706.073021,0
